A;B;C;D;E;F;G
0.52748895;0.276584334;0.499325913;0.947519113;0.253286335;0.189348499;0.459579264
0.521257665;0.104771822;0.768307592;0.753333307;0.662768296;0.691718584;0.331057605
0.560253419;0.582545178;0.441130192;0.389082674;0.551595999;0.584448858;0.961361877
0.824599313;0.685890083;0.761796775;0.898953034;0.083169112;0.291503868;0.434094882
0.447797886;0.571421807;0.372374634;0.830807918;0.379548433;0.822216668;0.231544952
0.734491641;0.361672035;0.540809659;0.25546924;0.102917422;0.274449951;0.972017822
0.721692418;0.716329058;0.947845376;0.907420348;0.631741433;0.926555875;0.725224177
0.024632619;0.468731206;0.790869349;0.178943163;0.98260904;0.108918688;0.323542653
0.46023537;0.887447436;0.722729413;0.402289836;0.589531142;0.734820996;0.332210773
0.138109139;0.172531926;0.349880935;0.709933306;0.416439681;0.412017878;0.616912934
0.593046679;0.06585599;0.775298888;0.358482432;0.224114196;0.63316772;0.603868856
0.443402827;0.931526396;0.28317163;0.632756994;0.808535242;0.797527113;0.065336216
0.968090025;0.742472537;0.777423554;0.590261361;0.627191553;0.106512371;0.431544275
0.785145538;0.261026492;0.254800756;0.06005214;0.083365261;0.90779996;0.666480087
0.759548869;0.671043598;0.268939242;0.997532019;0.624394435;0.983547909;0.147266999
0.04456196;0.29346549;0.791960184;0.212456596;0.045736551;0.428928498;0.003478683
0.512442966;0.438012996;0.971273911;0.536336198;0.066665424;0.177440209;0.015772889
0.995674941;0.376061422;0.379611473;0.661461842;0.673186333;0.851757771;0.193829914
0.461370263;0.19404794;0.12186998;0.971300128;0.95846154;0.365049419;0.334977292
